Name,Category,"*Original Template",**Type,**Function,"**RU Size","**Mount Config","**Template Structure"
24P_RJ45_CAT5E,Patch_Panel,24P_RJ45_CAT5E,Standard,Passive,1,2-Post,"{""sizeX"":null,""sizeY"":null,""parentH"":null,""parentV"":null,""frontImage"":""47618b55d38fcaf9ad73be0ead312d68.jpg"",""rearImage"":""47618b55d38fcaf9ad73be0ead312d68.jpg"",""structure"":[[{""portLayoutX"":""24"",""portLayoutY"":""1"",""encLayoutX"":1,""encLayoutY"":1,""partitionType"":""Connectable"",""portOrientation"":1,""portType"":1,""mediaType"":1,""direction"":""column"",""vunits"":2,""hunits"":10,""flex"":""0"",""portNameFormat"":[{""type"":""static"",""value"":""Port"",""count"":0,""order"":0},{""type"":""incremental"",""value"":""1"",""count"":24,""order"":1}]}]]}"
6p_LC_OM4,MM_Fiber_Insert,6p_LC_OM4,Insert,Passive,4,N/A,"{""sizeX"":""12"",""sizeY"":""1"",""parentH"":""10"",""parentV"":""8"",""frontImage"":""f782af8c83a096a188ba333d0039aaf7.jpg"",""rearImage"":""f782af8c83a096a188ba333d0039aaf7.jpg"",""structure"":[[{""portLayoutX"":""1"",""portLayoutY"":""6"",""encLayoutX"":1,""encLayoutY"":1,""partitionType"":""Connectable"",""portOrientation"":""2"",""portType"":""2"",""mediaType"":""6"",""direction"":""row"",""vunits"":8,""hunits"":10,""flex"":""0"",""portNameFormat"":[{""type"":""static"",""value"":""Port"",""count"":0,""order"":0},{""type"":""incremental"",""value"":""1"",""count"":0,""order"":1}]}]]}"
Fiber_Enclosure,Enclosure,Fiber_Enclosure,Standard,Passive,4,2-Post,"{""sizeX"":null,""sizeY"":null,""parentH"":null,""parentV"":null,""frontImage"":null,""rearImage"":null,""structure"":[[{""portLayoutX"":0,""portLayoutY"":0,""encLayoutX"":""12"",""encLayoutY"":""1"",""partitionType"":""Enclosure"",""portPrefix"":""Port"",""portNumber"":1,""portOrientation"":1,""portType"":1,""mediaType"":1,""direction"":""column"",""vunits"":8,""hunits"":10,""flex"":""0""}]]}"
LISA-FIBER-CHASSIS-L-1U,Enclosure,LISA-FIBER-CHASSIS-L-1U,Standard,Passive,1,2-Post,"{""sizeX"":null,""sizeY"":null,""parentH"":null,""parentV"":null,""frontImage"":null,""rearImage"":null,""structure"":[[{""portLayoutX"":1,""portLayoutY"":1,""encLayoutX"":1,""encLayoutY"":1,""encInsertFitment"":""Strict"",""partitionType"":""Generic"",""portOrientation"":1,""portType"":1,""mediaType"":1,""portNameFormat"":[{""type"":""static"",""value"":""Port"",""count"":0,""order"":0},{""type"":""incremental"",""value"":""1"",""count"":0,""order"":1}],""direction"":""row"",""vunits"":2,""hunits"":10,""flex"":""0"",""children"":[{""portLayoutX"":1,""portLayoutY"":1,""encLayoutX"":""1"",""encLayoutY"":""2"",""encInsertFitment"":""Strict"",""partitionType"":""Enclosure"",""portOrientation"":1,""portType"":1,""mediaType"":1,""portNameFormat"":[{""type"":""static"",""value"":""Port"",""count"":0,""order"":0},{""type"":""incremental"",""value"":""1"",""count"":0,""order"":1}],""direction"":""column"",""vunits"":2,""hunits"":6,""flex"":""0.6""}]}]]}"
LISA-FIBER-CHASSIS-L-7U,Enclosure,LISA-FIBER-CHASSIS-L-7U,Standard,Passive,7,2-Post,"{""sizeX"":null,""sizeY"":null,""parentH"":null,""parentV"":null,""frontImage"":null,""rearImage"":null,""structure"":[[{""portLayoutX"":1,""portLayoutY"":1,""encLayoutX"":1,""encLayoutY"":1,""encInsertFitment"":""Strict"",""partitionType"":""Generic"",""portOrientation"":1,""portType"":1,""mediaType"":1,""portNameFormat"":[{""type"":""static"",""value"":""Port"",""count"":0,""order"":0},{""type"":""incremental"",""value"":""1"",""count"":0,""order"":1}],""direction"":""row"",""vunits"":14,""hunits"":10,""flex"":""0"",""children"":[{""portLayoutX"":1,""portLayoutY"":1,""encLayoutX"":""1"",""encLayoutY"":""15"",""encInsertFitment"":""Strict"",""partitionType"":""Enclosure"",""portOrientation"":1,""portType"":1,""mediaType"":1,""portNameFormat"":[{""type"":""static"",""value"":""Port"",""count"":0,""order"":0},{""type"":""incremental"",""value"":""1"",""count"":0,""order"":1}],""direction"":""column"",""vunits"":14,""hunits"":6,""flex"":""0.6""}]}]]}"
LiSA_Insert,MM_Fiber_Insert,LiSA_Insert,Insert,Passive,1,N/A,"{""sizeX"":""1"",""sizeY"":""2"",""parentH"":""6"",""parentV"":""2"",""frontImage"":null,""rearImage"":null,""structure"":[[{""portLayoutX"":1,""portLayoutY"":1,""encLayoutX"":1,""encLayoutY"":1,""encInsertFitment"":""Strict"",""partitionType"":""Generic"",""portOrientation"":1,""portType"":1,""mediaType"":1,""portNameFormat"":[{""type"":""static"",""value"":""Port"",""count"":0,""order"":0},{""type"":""incremental"",""value"":""1"",""count"":0,""order"":1}],""direction"":""row"",""vunits"":2,""hunits"":6,""flex"":""0"",""children"":[{""portLayoutX"":""6"",""portLayoutY"":""1"",""encLayoutX"":1,""encLayoutY"":1,""encInsertFitment"":""Strict"",""partitionType"":""Connectable"",""portOrientation"":1,""portType"":""2"",""mediaType"":""6"",""portNameFormat"":[{""type"":""static"",""value"":""Port"",""count"":0,""order"":0},{""type"":""incremental"",""value"":""1"",""count"":0,""order"":1}],""direction"":""column"",""vunits"":2,""hunits"":3,""flex"":""0.5""},{""portLayoutX"":""6"",""portLayoutY"":""1"",""encLayoutX"":1,""encLayoutY"":1,""encInsertFitment"":""Strict"",""partitionType"":""Connectable"",""portOrientation"":1,""portType"":""2"",""mediaType"":""6"",""portNameFormat"":[{""type"":""static"",""value"":""Port"",""count"":0,""order"":0},{""type"":""incremental"",""value"":""7"",""count"":0,""order"":1}],""direction"":""column"",""vunits"":2,""hunits"":3,""flex"":""0.5""}]}]]}"
Switch,Switch,Switch,Standard,Endpoint,1,4-Post,"{""sizeX"":null,""sizeY"":null,""parentH"":null,""parentV"":null,""frontImage"":null,""rearImage"":null,""structure"":[[{""portLayoutX"":""1"",""portLayoutY"":""1"",""encLayoutX"":0,""encLayoutY"":0,""partitionType"":""Connectable"",""portOrientation"":1,""portType"":""4"",""mediaType"":1,""portNameFormat"":[{""type"":""static"",""value"":""Port"",""count"":0,""order"":0},{""type"":""incremental"",""value"":""1"",""count"":0,""order"":1}],""direction"":""column"",""vunits"":2,""hunits"":10,""flex"":""0""}],[{""portLayoutX"":1,""portLayoutY"":1,""encLayoutX"":0,""encLayoutY"":0,""partitionType"":""Generic"",""portOrientation"":1,""portType"":1,""mediaType"":1,""portNameFormat"":[{""type"":""static"",""value"":""Port"",""count"":0,""order"":0},{""type"":""incremental"",""value"":""1"",""count"":0,""order"":1}],""direction"":""column"",""vunits"":2,""hunits"":10,""flex"":""0""}]]}"
