Name,Category,"*Original Template",**Type,**Function,"**RU Size","**Mount Config","**Template Structure"
6p_LC_OM4,MM_Fiber_Insert,6p_LC_OM4,Insert,Passive,4,N/A,"{""sizeX"":""12"",""sizeY"":""1"",""parentH"":""10"",""parentV"":""8"",""frontImage"":""f782af8c83a096a188ba333d0039aaf7.jpg"",""rearImage"":null,""structure"":[[{""portLayoutX"":""1"",""portLayoutY"":""6"",""encLayoutX"":1,""encLayoutY"":1,""partitionType"":""Connectable"",""portOrientation"":""2"",""portType"":""2"",""mediaType"":""6"",""direction"":""row"",""vunits"":8,""hunits"":10,""flex"":""0"",""portNameFormat"":[{""type"":""static"",""value"":""Port"",""count"":0,""order"":0},{""type"":""incremental"",""value"":""1"",""count"":0,""order"":1}]}]]}"
Fiber_Enclosure,Enclosure,Fiber_Enclosure,Standard,Passive,4,2-Post,"{""sizeX"":null,""sizeY"":null,""parentH"":null,""parentV"":null,""frontImage"":null,""rearImage"":null,""structure"":[[{""portLayoutX"":0,""portLayoutY"":0,""encLayoutX"":""12"",""encLayoutY"":""1"",""partitionType"":""Enclosure"",""portPrefix"":""Port"",""portNumber"":1,""portOrientation"":1,""portType"":1,""mediaType"":1,""direction"":""column"",""vunits"":8,""hunits"":10,""flex"":""0""}]]}"
H-S_1RU-LiSA-Fiber-Tray,Enclosure,H-S_1RU-LiSA-Fiber-Tray,Standard,Passive,1,2-Post,"{""sizeX"":null,""sizeY"":null,""parentH"":null,""parentV"":null,""frontImage"":null,""rearImage"":null,""structure"":[[{""portLayoutX"":1,""portLayoutY"":1,""encLayoutX"":0,""encLayoutY"":0,""partitionType"":""Generic"",""portOrientation"":1,""portType"":1,""mediaType"":1,""portNameFormat"":[{""type"":""static"",""value"":""Port"",""count"":0,""order"":0},{""type"":""incremental"",""value"":""1"",""count"":0,""order"":1}],""direction"":""row"",""vunits"":2,""hunits"":10,""flex"":""0"",""children"":[{""portLayoutX"":1,""portLayoutY"":1,""encLayoutX"":0,""encLayoutY"":0,""partitionType"":""Generic"",""portOrientation"":1,""portType"":1,""mediaType"":1,""portNameFormat"":[{""type"":""static"",""value"":""Port"",""count"":0,""order"":0},{""type"":""incremental"",""value"":""1"",""count"":0,""order"":1}],""direction"":""column"",""vunits"":2,""hunits"":5,""flex"":""0.5"",""children"":[{""portLayoutX"":1,""portLayoutY"":1,""encLayoutX"":""1"",""encLayoutY"":""1"",""partitionType"":""Enclosure"",""portOrientation"":1,""portType"":1,""mediaType"":1,""portNameFormat"":[{""type"":""static"",""value"":""Port"",""count"":0,""order"":0},{""type"":""incremental"",""value"":""1"",""count"":0,""order"":1}],""direction"":""row"",""vunits"":1,""hunits"":5,""flex"":""0.5""},{""portLayoutX"":1,""portLayoutY"":1,""encLayoutX"":""1"",""encLayoutY"":""1"",""partitionType"":""Enclosure"",""portOrientation"":1,""portType"":1,""mediaType"":1,""portNameFormat"":[{""type"":""static"",""value"":""Port"",""count"":0,""order"":0},{""type"":""incremental"",""value"":""1"",""count"":0,""order"":1}],""direction"":""row"",""vunits"":1,""hunits"":5,""flex"":""0.5""}]}]}]]}"
H-S_1way_12P_LC_OM4,MM_Fiber_Insert,H-S_1way_12P_LC_OM4,Insert,Passive,1,N/A,"{""sizeX"":""1"",""sizeY"":""1"",""parentH"":""5"",""parentV"":""1"",""frontImage"":null,""rearImage"":null,""structure"":[[{""portLayoutX"":""12"",""portLayoutY"":""1"",""encLayoutX"":0,""encLayoutY"":0,""partitionType"":""Connectable"",""portOrientation"":1,""portType"":""2"",""mediaType"":""6"",""portNameFormat"":[{""type"":""static"",""value"":""Port"",""count"":0,""order"":0},{""type"":""incremental"",""value"":""1"",""count"":0,""order"":1}],""direction"":""row"",""vunits"":1,""hunits"":5,""flex"":""0""}]]}"
